Animal,Jump_no,JH,LV,LA,AV,AA,RE/KE
A1,1,50,1.3,1.691,36.926,1363.516,1.403425969
A1,2,50,1.145,1.31,59.281,3514.214,4.666882181
A1,3,50,1.224,1.499,56.585,3201.808,3.717569788
A1,4,50,1.637,2.678,50.117,2511.719,1.631788712
A1,5,50,1.658,2.749,42.911,1841.395,1.165654084
A1,6,50,1.326,1.759,54.898,3013.841,2.98065843
A1,7,50,1.452,2.109,51.864,2689.868,2.219310804
A1,8,50,1.123,1.261,59.572,3548.882,4.895765099
A1,9,50,1.581,2.5,36.842,1357.309,0.944853889
A1,10,50,1.104,1.218,31.482,991.115,1.415406097
A1,11,50,0.947,0.896,48.074,2311.119,4.487845803
A1,12,50,1.089,1.185,57.065,3256.389,4.78162964
A1,13,50,1.668,2.782,91.644,8398.606,5.253306749
A1,14,50,1.009,1.019,50.803,2580.908,4.406891755
A1,15,50,0.76,0.577,18.865,355.893,1.072993389
A1,16,50,0.913,0.834,34.479,1188.784,2.479532872
A1,17,50,1.018,1.036,48.892,2390.468,4.016545834
A4,1,50,1.205,1.451,49.511,2451.376,2.357056486
A4,2,50,1.366,1.867,40.697,1656.252,1.238174553
A4,3,50,1.369,1.873,45.838,2101.12,1.5649943
A4,4,50,1.33,1.769,38.578,1488.265,1.173999793
A4,5,50,1.219,1.487,50.714,2571.878,2.41381135
A5,1,50,1.204,1.449,59.842,3581.109,5.068994531
A5,2,50,1.451,2.107,41.538,1725.413,1.680104074
A5,3,50,1.452,2.108,52.001,2704.054,2.631686618
A5,4,50,1.101,1.211,44.541,1983.896,3.359718994
A5,5,50,1.406,1.978,40.695,1656.092,1.717631373
A6,1,50,1.626,2.642,23.752,564.138,0.467513739
A6,2,50,1.474,2.172,23.419,548.46,0.553041174
A6,3,50,1.259,1.585,44.887,2014.846,2.783185754
A6,4,50,1.691,2.859,20.107,404.31,0.309636629
A6,5,50,1.553,2.411,30.095,905.705,0.822448998
F1,1,50,1.61,2.592,59.254,3511.027,2.072601096
F1,2,50,1.866,3.483,53.232,2833.639,1.244625139
F1,3,50,1.882,3.541,70.564,4979.215,2.151212205
F1,4,50,1.532,2.346,51.406,2642.585,1.723117981
F1,5,50,1.811,3.278,53.309,2841.86,1.326404132
M1,1,50,1.123,1.262,50.787,2579.324,2.490285402
M1,2,50,1.406,1.976,62.828,3947.4,2.433557204
M1,3,50,1.824,3.329,64.294,4133.712,1.512631146
M1,4,50,1.019,1.038,42.998,1848.812,2.170261528
M1,5,50,0.98,0.96,47.659,2271.394,2.882890356
M2,1,50,1.487,2.21,56.056,3142.297,2.7298652
M2,2,50,1.569,2.462,42.286,1788.12,1.39454496
M2,3,50,1.31,1.715,46.883,2197.975,2.460860262
M2,4,50,1.247,1.556,50.451,2545.318,3.141180218
M2,5,50,1.477,2.183,55.125,3038.806,2.673556744
A1,1,75,1.912,3.658,42.905,1840.84,0.87573683
A1,2,75,1.361,1.851,38.961,1517.935,1.426674266
A1,3,75,1.935,3.745,47.702,2275.494,1.057112632
A1,4,75,1.584,2.508,37.415,1399.912,0.971431645
A1,5,75,1.506,2.267,36.426,1326.855,1.018208924
A1,6,75,1.723,2.97,48.564,2358.441,1.381593352
A1,7,75,2.001,4.004,57.432,3298.422,1.433573006
A1,8,75,1.455,2.116,-6.607,43.65,0.035887966
A1,9,75,1.804,3.255,44.687,1996.941,1.0676391
A1,10,75,1.466,2.151,44.163,1950.382,1.578083242
A1,11,75,1.494,2.231,35.029,1227.007,0.957001828
A1,12,75,1.404,1.972,40.302,1624.262,1.433044444
A1,13,75,1.806,3.262,37.507,1406.793,0.750490922
A1,14,75,1.615,2.607,37.474,1404.305,0.937133798
A1,15,75,1.455,2.116,29.599,876.088,0.720324611
A1,16,75,2.081,4.331,61.357,3764.672,1.51235444
A1,17,75,2.016,4.063,39.957,1596.6,0.683788727
A1,18,75,1.338,1.791,38.389,1473.709,1.432138555
A1,19,75,1.375,1.891,29.566,874.159,0.804217287
A1,20,75,1.385,1.919,33.996,1155.716,1.047674389
A1,21,75,1.208,1.46,12.543,157.339,0.187506073
A1,22,75,1.406,1.976,26.519,703.248,0.619117239
A1,23,75,1.272,1.617,15.166,230,0.247459431
A1,24,75,1.356,1.838,32.201,1036.882,0.981446617
A1,25,75,1.259,1.585,28.276,799.522,0.877553463
A1,26,75,1.613,2.603,39.094,1528.307,1.021674098
A4,1,75,1.728,2.987,41.615,1731.827,0.808896749
A4,2,75,1.882,3.542,50.953,2596.175,1.022747347
A5,1,75,0.998,0.995,25.764,663.806,1.368452905
A5,2,75,1.447,2.095,29.818,889.125,0.870621918
