Animal,Jump_no,JH,DF-FTJ,FTJ-F,DF-F,H-FTJ,H-F,H.DF,H-FTJangle
A1,1,50,9.224609368,8.735022152,2.698210147,22.96174011,24.18773708,21.67810944,124.38506
A1,2,50,9.147252757,8.434082345,1.7092747,24.53613101,17.15123348,15.78949075,148.3466095
A1,3,50,9.241668085,8.666397464,3.062713176,24.95204523,20.0836902,17.31728223,158.0200752
A1,4,50,9.09200231,8.38750845,2.156613085,26.74418382,25.64415696,23.55663087,118.1520338
A1,5,50,7.972876833,7.044353838,2.377176897,26.24607323,25.3653109,23.07738636,114.4681536
A1,6,50,10.67935916,10.55768196,2.897506506,27.00520131,19.11887886,17.1580841,154.1373571
A1,7,50,8.395336384,7.5538563,2.475823095,24.37546949,24.44276155,22.14315867,123.7282757
A1,8,50,6.468894264,6.174885667,2.078399865,21.56361101,22.3664617,20.35664071,130.582757
A1,9,50,8.435226731,7.655896029,3.718587097,25.30779568,25.93002511,22.30421494,120.8853569
A1,10,50,5.286292936,5.543694797,2.186921352,19.88128831,23.21493306,21.24361029,125.0562971
A1,11,50,7.445747511,6.83796885,2.750928934,22.50257641,18.21664099,15.87096333,146.8742101
A1,12,50,8.907607535,8.144562358,0.780179467,23.89465306,16.38319532,15.79644406,164.3089445
A1,14,50,8.868982805,8.778015322,2.830400148,22.20919854,14.88649835,13.48783289,146.8166503
A1,15,50,7.976843486,7.823493401,2.29963845,20.81702827,14.14669251,12.98549845,145.5586728
A1,16,50,9.02119266,8.624930898,2.441812851,22.2741629,15.48699616,13.7540983,154.920474
A1,17,50,5.796427952,5.799739649,3.002561073,20.87153396,23.92711871,21.19208128,125.6003829
A4,1,50,8.166934125,4.008255481,4.008255481,20.59861248,24.54452536,20.76568624,101.4743257
A4,2,50,8.559963376,2.830175436,2.830175436,23.96068885,24.79743247,22.10940293,110.7345913
A4,3,50,9.006849505,2.088040469,2.088040469,23.81372615,23.96874125,21.9669718,111.382769
A4,4,50,6.792801558,2.535303138,2.535303138,23.04968939,24.01197743,21.56315603,112.2984125
A4,5,50,8.36330748,2.391092219,2.391092219,22.42530823,22.82775821,20.49260874,102.0003198
A5,1,50,5.172106921,2.823376879,2.823376879,24.93072362,23.0135371,20.43832941,135.8570206
