Animal,Jump_no,JH,Knee
A1,A1J150,50,130.3797821
A1,A1J250,50,119.2926064
A1,A1J350,50,126.0176854
A1,A1J450,50,138.7934442
A1,A1J550,50,127.4394306
A1,A1J650,50,139.9623686
A1,A1J750,50,115.2390997
A1,A1J850,50,131.4268376
A1,A1J950,50,113.9355814
A1,A1J1050,50,139.8684903
A1,A1J1150,50,112.2367088
A1,A1J1250,50,123.0694266
A1,A1J1350,50,123.5208109
A1,A1J1450,50,121.2057066
A1,A1J1550,50,109.5659635
A1,A1J1650,50,121.5083818
A1,A1J1750,50,111.7279392
A1,A1J175,75,144.5981396
A1,A1J275,75,138.4178401
A1,A1J375,75,140.1846595
A1,A1J475,75,138.1003838
A1,A1J575,75,132.6939966
A1,A1J675,75,140.6695157
A1,A1J775,75,144.1780138
A1,A1J875,75,133.7588652
A1,A1J975,75,136.8256515
A1,A1J1075,75,126.830092
A1,A1J1175,75,127.1861391
A1,A1J1275,75,134.5763848
A1,A1J1375,75,139.5565452
A1,A1J1475,75,134.2190414
A1,A1J1575,75,128.7065422
A1,A1J1675,75,146.0648423
A1,A1J1775,75,139.585383
A1,A1J1875,75,131.1130278
A1,A1J1975,75,128.9978853
A1,A1J2075,75,130.5709642
A1,A1J2175,75,127.3071633
A1,A1J2275,75,125.7072104
A1,A1J2375,75,128.7368701
A1,A1J2475,75,131.645142
A1,A1J2575,75,129.309423
A1,A1J2675,75,138.0315448
A1,A1J1100,100,159.1896626
A1,A1J2100,100,145.1712956
A1,A1J3100,100,148.0249059
A1,A1J4100,100,142.5917624
A1,A1J5100,100,28.4992182
A1,A1J6100,100,140.8835666
A1,A1J7100,100,145.4943513
A1,A1J8100,100,144.5815783
A1,A1J9100,100,151.9428733
A1,A1J10100,100,144.9030845
A1,A1J11100,100,149.1607403
A1,A1J12100,100,144.1552513
A1,A1J13100,100,152.6169759
A1,A1J14100,100,155.0777755
A1,A1J15100,100,147.4616301
A1,A1J16100,100,142.3654978
A1,A1J17100,100,148.6886819
A1,A1J18100,100,142.0648739
A1,A1J19100,100,155.4735829
A1,A1J20100,100,144.3694278
A1,A1J21100,100,146.3193894
A1,A1J22100,100,141.3134543
A1,A1J23100,100,155.1278832
A1,A1J24100,100,147.4027665
A1,A1J25100,100,146.1428141
A4,50mmP4J1,50,131.5445898
A4,50mmP4J2,50,129.6129535
A4,50mmP4J3,50,127.1417661
A4,50mmP4J4,50,138.2005781
A4,50mmP4J5,50,125.800576
A5,50mmP5J1,50,136.0639521
A5,50mmP5J2,50,133.1645409
A5,50mmP5J3,50,131.4848772
A5,50mmP5J4,50,111.1835057
A5,50mmP5J5,50,118.3006507
A6,50mmP6J1,50,139.9136045
A6,50mmP6J2,50,132.2523006
A6,50mmP6J3,50,143.8015084
A6,50mmP6J4,50,130.0600546
A6,50mmP6J5,50,131.4124025
F1,50mmF1J1,50,142.2874585
F1,50mmF1J2,50,133.4783834
F1,50mmF1J3,50,129.0465669
F1,50mmF1J4,50,129.8663521
F1,50mmF1J5,50,139.6162994
M1,50mmM1J1,50,127.6050697
M1,50mmM1J2_right,50,111.0090841
M1,50mmM1J3,50,148.687437
M1,50mmM1J4,50,114.7391243
M1,50mmM1J5,50,120.5701032
M2,50mmM2J1,50,123.8702976
M2,50mmM2J2,50,141.5281336
M2,50mmM2J3,50,123.8234541
M2,50mmM2J4,50,120.8020867
M2,50mmM2J5,50,148.8976409
A4,75mmA4J1,75,147.9148796
A4,75mmA4J2,75,141.6155232
A4,75mmA5J1,75,126.3878608
A4,75mmA5J2,75,115.8240638
A5,75mmA5J3,75,110.2354388
A5,75mmA5J4,75,131.7898262
A5,75mmA5J5,75,120.8048021
A6,75mmA6J1,75,139.757866
A6,75mmA6J2,75,140.7691636
A6,75mmA6J3,75,130.0271384
A6,75mmA6J4,75,134.2755682
A6,75mmA6J5,75,132.6848416
F1,75mmF1J1,75,165.069337
F1,75mmF1J2,75,139.8996597
F1,75mmF1J3,75,135.3061973
F1,75mmF1J4,75,146.551823
F1,75mmF1J5,75,151.2516913
M1,75mmM1J1,75,125.3936567
M1,75mmM1J2,75,131.3448571
M1,75mmM1J3,75,133.0887492
M1,75mmM1J4,75,138.6125661
M1,75mmM1M5,75,135.5582667
M2,75mmM2J1,75,141.8921741
M2,75mmM2J2,75,148.7363482
M2,75mmM2J3,75,137.2829678
M2,75mmM2J4,75,132.4908829
M2,75mmM2J5,75,138.996714
A4,100mmA4J1,100,141.3689886
A5,100mmA5J1,100,130.6799406
A5,100mmA5J2,100,127.2195134
A5,100mmA5J3,100,121.3261697
A5,100mmA5J4_right,100,153.0952069
A5,100mmA5J5_right,100,151.9136681
A6,100mmA6J1,100,135.06744
A6,100mmA6J2,100,135.0989462
A6,100mmA6J3,100,140.5920897
A6,100mmA6J4,100,141.6008585
A6,100mmA6J5,100,138.687066
F1,100mmF1J1,100,154.7962659
F1,100mmF1J2_right,100,159.6123917
F1,100mmF1J3,100,161.3480598
F1,100mmF1J4,100,160.1833196
F1,100mmF1J5,100,159.6695961
M1,100mmM1J1,100,145.3409595
M1,100mmM1J2_c,100,141.4205417
M1,100mmM1J3_c,100,138.7419645
M1,100mmM1J4_c,100,147.2246566
M1,10mmM1J5,100,132.610993
M2,100mmM2J1,100,154.1470819
M2,100mmM2J2,100,142.315166
M2,100mmM2J3,100,146.6616317
M2,100mmM2J4,100,147.5437043
M2,100mmM2J5,100,148.906998
